# Phenotype data for Lg/Sm mouse advanced intercross line. This table
# includes phenotype data from 3-day fear conditioning study for 490
# mice (249 males and 241 females) from the F2 cross, and 687 mice
# (353 males and 334 females) from the F34 cross. See phenome.jax.org
# for details on the LG/J and SM/J mouse strains.
#
# The table is stored in comma-delimited ("csv") format. Each row
# corresponds to an individual mouse. Missing entries are marked as
# "NA".
# 
# The columns of the table are:
#
#  (1) id (a unique number assigned to each individual)
#  (2) filial generation (either F2 or F34)
#  (3) sex (M = male, F = female)
#  (4) coat color (W = white, B = black, A = agouti)
#  (5) age (in days)
#  (6) litter id
#  (7) litter size  
#  (8) distance traveled (in cm) along periphery of box
#  (9) distance traveled (in cm) in center of box
# (10) proportion of time spent in center of box
# (11) fecal boli 1 
# (12) fecal boli 2
# (13) average proportion of time freezing on Day 1 before mouse is
#      exposed to tones and shocks ("pre-training freezing")
# (14) average proportion of time freezing on Day 2 in an environment 
#      identical to Day 1 ("freezing to context")
# (15) average proportion of time freezing on Day 3 in an altered
#      environment, after the tone is presented at the same time as 
#      Day 1 ("freezing to cue")
# 
# Columns 8-10 are measurements obtained from "Open Field" testing,
# and columns 13-15 are measurements obtained from "Conditioned Fear"
# testing. Columns 16-18 are other phenotypes calculated from the
# "freezing" measurements.
#
id,generation,litterid,littersize,sex,coatcolor,age,distperiphery,distcenter,propcenter,FB1,FB2,pretrainfreeze,freezetocontext,freezetocue,learn,extinct,ctxtlearn
732A,F2,1,11,M,B,66,2985,640,0.1208,0,0,0.016,0.0303,0.0979,13.39,-7.2,1.43
733A,F2,1,11,F,W,66,3634,1302,0.2085,5,3,0.0178,0.0427,0.07125,10.71,-7.17,2.49
734A,F2,1,7,F,B,63,2100,239,0.0752,5,3,0.0302,0.1622,0.3559,31.36,-14.54,13.2
735A,F2,1,7,M,B,63,1951,227,0.0758,3,2,0.0356,0.0232,0.04005,-4.37,-2.71,-1.24
736A,F2,1,7,F,B,63,3078,260,0.0748,4,6,0.0302,0.3494,0.4271,26.13,-18.16,31.92
737A,F2,1,7,F,B,63,4075,1017,0.1488,1,2,0.0267,0.5526,0.24085,35.78,-37.55,52.59
738A,F2,1,7,M,B,63,3944,143,0.0225,3,2,0.032,0.1089,0.0625,8.08,-12.5,7.69
739A,F2,1,7,M,W,63,2366,449,0.123,3,2,0.0267,0.1482,0.2093,26.82,-18.86,12.15
740A,F2,1,7,F,W,63,1889,289,0.08,2,5,0.0445,0.2282,0.8093,77.79,-16.72,18.37
741A,F2,1,9,F,B,71,3416,249,0.0577,3,5,0.105,0.1569,0.2629,38.42,-31.34,5.19
742A,F2,1,9,M,B,71,1048,280,0.1132,2,2,0.0196,0.169,0.28885,27.68,2.41,14.94
744A,F2,1,9,F,B,71,2672,462,0.1387,2,2,0.0516,0.4135,0.1067,7.19,-1.88,36.19
746A,F2,1,9,M,B,71,2145,137,0.0758,0,3,0.0784,0.153,0.4363,60.71,-34.16,7.46
747A,F2,1,9,M,B,71,2990,174,0.0445,3,6,0.0731,0.032,0.12925,17.01,-17.01,-4.11
749A,F2,1,9,F,W,71,2770,296,0.0828,1,3,0.0071,0.1052,0.59065,68.58,-31.41,9.81
750A,F2,1,9,M,W,71,2586,305,0.0615,3,4,0.0196,0.1815,0.7027,80.36,-20.18,16.19
773A,F2,2,14,M,W,57,2387,2008,0.295,0,0,0.0214,0,0.08035,16.07,-16.07,-2.14
774A,F2,2,14,M,W,57,2223,533,0.0732,2,1,0.0232,0.0732,0.1961,11.79,-25.06,5
775A,F2,2,14,M,W,57,2411,853,0.1708,1,3,0.0463,0.0841,0.15165,19.71,-23.25,3.78
776A,F2,2,14,F,W,57,3593,319,0.0663,0,1,0.016,0.0178,0.0886,-1.74,12.36,0.18
777A,F2,2,11,F,B,61,3168,207,0.0617,3,8,0.0036,0.0231,0.05335,6.25,-1.83,1.95
779A,F2,2,11,F,B,61,2434,359,0.124,1,3,0.0357,0.0605,0.21305,15.18,12.25,2.48
780A,F2,2,11,F,W,61,2707,341,0.1008,5,3,0.0374,0.0605,0.52955,37.77,-29.81,2.31
781A,F2,2,11,F,B,61,1042,108,0.0457,3,2,0.0231,0.2562,0.32455,30.21,-6.51,23.31
782A,F2,2,11,F,B,61,2328,430,0.1248,5,4,0.0445,0.0552,0.0535,2.51,-7.16,1.07
783A,F2,2,11,M,B,61,2369,344,0.079,4,4,0,0.2989,0.16965,26.79,-19.65,29.89
784A,F2,2,11,M,B,61,1189,6,0.0058,4,5,0.0854,0.089,0.0759,8.96,-9.82,0.36
785A,F2,2,11,M,B,61,2121,77,0.0167,1,0,0.0214,0.1548,0.41075,61.67,-53.57,13.34
786A,F2,2,11,M,B,61,205,2,0.014,2,2,0.0463,0.0996,0.1071,8.94,0,5.33
787A,F2,2,11,M,W,61,2989,594,0.222,0,1,0.016,0.0302,0.6668,69.64,-5.92,1.42
788A,F2,2,14,F,B,60,2018,35,0.0292,4,3,0.016,0.2086,0.56015,54.47,-5.83,19.26
789A,F2,2,14,F,B,60,2928,113,0.0348,2,2,0.0036,0.0909,0.6179,21.43,-5,8.73
790A,F2,2,14,F,B,60,4054,117,0.0597,4,6,0.0303,0.0321,0.23165,33.03,-25.09,0.18
791A,F2,2,14,F,W,60,1821,315,0.1003,1,4,0.0143,0.1087,0.214,36.61,-30.42,9.44
792A,F2,2,14,F,W,60,2636,373,0.106,0,1,0.016,0.1337,0.48005,49.11,-2.21,11.77
793A,F2,2,14,M,B,60,2617,264,0.0613,2,3,0.089,0.1016,0.56075,71.44,-34.27,1.26
794A,F2,2,14,M,B,60,1877,609,0.1972,2,3,0.0534,0.1016,0.6495,79.46,-29.02,4.82
795A,F2,2,14,M,B,60,2350,495,0.1073,3,0,0.0071,0.2776,0.5154,39.36,6.66,27.05
796A,F2,2,14,F,B,60,1752,229,0.0965,5,3,0.016,0.0712,0.0489,1.82,-0.94,5.52
797A,F2,2,14,M,B,60,2468,479,0.1043,0,1,0.025,0.0801,0.06665,7.14,-0.95,5.51
798A,F2,2,14,F,B,60,1951,169,0.0608,1,0,0,0.1252,0.32885,28.6,1.49,12.52
800A,F2,2,14,F,W,60,3243,502,0.1043,2,3,0.0089,0.1586,0.1842,10.29,-26.22,14.97
801A,F2,2,14,M,W,60,1952,6,0.006,5,1,0,0.0642,0.3787,54.51,-42.12,6.42
803A,F2,2,8,F,A,60,3429,995,0.1655,2,0,0.0516,0.1335,0.18265,-16.57,-18.83,8.19
804A,F2,2,8,F,W,60,1325,436,0.1657,5,6,0.0089,0.0943,0.18225,9.9,-1.05,8.54
805A,F2,2,8,F,W,60,2102,528,0.1123,3,5,0.0107,0.0872,0.25825,36.61,-21.57,7.65
806A,F2,2,8,M,A,60,1986,313,0.0942,0,3,0.0178,0.3868,0.6034,-12.95,47.46,36.9
807A,F2,2,8,M,B,60,2577,1114,0.1922,1,2,0.0374,0.2781,0.6583,64.4,-21.92,24.07
808A,F2,2,8,M,B,60,2505,3,0.0157,0,3,0.0801,0.123,0.08895,7.17,-3.63,4.29
809A,F2,2,8,M,W,60,2717,610,0.0888,4,3,0.0053,0.0392,0.46725,60.71,-27.97,3.39
811A,F2,2,16,M,B,66,1827,165,0.06,1,5,0.0427,0.2189,0.6027,39.29,-9.82,17.62
812A,F2,2,16,M,B,66,2957,253,0.0548,2,6,0.0517,0.169,0.62945,47.32,4.47,11.73
813A,F2,2,16,M,B,66,2753,667,0.1177,2,1,0.0658,0.105,0.4152,31.25,20.54,3.92
814A,F2,2,16,M,B,66,2983,795,0.1548,0,5,0.0463,0.1192,0.0759,0,-4.46,7.29
815A,F2,2,16,M,B,66,2363,0,0.0002,2,4,0.0374,0.2349,0.37945,47.32,-25.89,19.75
816A,F2,2,16,F,B,66,2619,1033,0.1538,2,1,0.0498,0.137,0.1875,30.36,-32.14,8.72
817A,F2,2,16,M,B,66,4606,692,0.0842,0,2,0.0783,0.1263,0.25445,36.61,-29.47,4.8
818A,F2,2,16,M,B,66,2933,591,0.1203,3,4,0.0569,0.3434,0.70535,38.39,23.21,28.65
819A,F2,2,16,M,B,66,2946,84,0.0307,0,4,0.0623,0.2171,0.7634,52.68,22.32,15.48
820A,F2,2,16,M,B,66,2094,391,0.138,0,2,0.073,0.2687,0.5402,41.08,16.96,19.57
821A,F2,2,16,M,W,66,2425,1146,0.1957,0,2,0.0214,0.0605,0.66075,75,-21.43,3.91
822A,F2,2,16,F,W,66,1441,664,0.2198,1,1,0.0018,0.0445,0.41965,-0.89,-7.15,4.27
823A,F2,2,16,F,W,66,2694,867,0.1637,0,0,0.0018,0.016,0.41965,39.29,5.35,1.42
824A,F2,2,16,M,W,66,2787,389,0.0815,0,3,0.0249,0.0071,0.26785,33.93,-16.07,-1.78
825A,F2,2,16,F,W,66,2868,1532,0.2483,6,5,0.0142,0.0285,0.14285,11.6,1.79,1.43
826A,F2,2,16,F,W,66,2281,871,0.206,3,1,0.016,0.0267,0.183,19.64,-2.68,1.07
827A,F2,3,13,F,B,59,2669,721,0.1757,5,8,0.0391,0.0676,0.22875,20.54,2.89,2.85
828A,F2,3,13,F,B,59,2438,131,0.0688,2,3,0.0819,0.1085,0.6607,39.28,25,2.66
829A,F2,3,13,M,B,59,2912,170,0.0757,4,5,0.0357,0.0392,0.29465,49.1,-41.07,0.35
830A,F2,3,13,M,B,59,2722,28,0.0097,0,0,0.0463,0.1052,0.43895,66.36,-44.93,5.89
831A,F2,3,13,M,B,59,2761,859,0.1368,5,2,0.0108,0.0409,0.03125,0.89,0.89,3.01
832A,F2,3,13,M,B,59,2277,477,0.0842,3,0,0.0323,0.0516,0.4375,33.93,7.14,1.93
833A,F2,3,13,F,B,59,3481,835,0.1398,5,5,0.048,0.1121,0.20695,2.68,28.89,6.41
834A,F2,3,13,M,B,59,2621,25,0.0108,2,4,0.0663,0.1228,0.6786,49.11,0,5.65
835A,F2,3,13,F,B,59,3882,117,0.0423,5,4,0.048,0.1192,0.5866,71.43,-38.04,7.12
836A,F2,3,13,F,B,59,3132,386,0.0748,0,7,0.0747,0.1014,0.2857,35.71,-17.86,2.67
837A,F2,3,13,F,B,59,2934,183,0.0478,5,4,0.0391,0.1263,0.27365,8.04,4.73,8.72
838A,F2,3,13,F,B,59,2531,201,0.0663,2,7,0.0427,0.0658,0.21425,25,-16.07,2.31
839A,F2,3,13,M,B,59,2273,357,0.1298,0,0,0.0642,0.2157,0.2348,22.79,-13.04,15.15
840A,F2,3,8,F,A,59,2257,78,0.0393,5,5,0.0783,0.1619,0.1875,19.65,-28.58,8.36
841A,F2,3,8,F,B,59,2627,720,0.136,0,3,0.0907,0.0854,0.125,12.5,-7.14,-0.53
842A,F2,3,8,F,B,59,2883,423,0.1325,5,7,0.0393,0.2883,0.6161,48.22,7.14,24.9
844A,F2,3,8,M,B,59,3690,559,0.091,0,4,0.0305,0.0569,0.0893,8.04,0,2.64
845A,F2,3,8,M,W,59,2562,604,0.0753,2,1,0.0267,0.0249,0.5045,30.36,40.18,-0.18
846A,F2,3,8,F,W,59,2186,824,0.182,4,4,0.0178,0.1103,0.84375,75,-8.03,9.25
848A,F2,3,13,F,B,58,2587,788,0.1142,2,5,0.0481,0.066,0.334,27.4,-15.02,1.79
850A,F2,3,13,F,B,58,2575,404,0.1768,4,7,0.0409,0.1157,0.2366,13.39,-2.68,7.48
851A,F2,3,13,M,B,58,2311,7,0.0088,3,5,0.0676,0.0658,0.1384,19.64,-16.96,-0.18
852A,F2,3,13,F,B,58,3960,814,0.1388,3,4,0.0801,0.0925,0.62945,34.82,11.61,1.24
853A,F2,3,13,F,B,58,2356,416,0.124,5,0,0.0589,0.0374,0.1027,-0.89,16.96,-2.15
854A,F2,3,13,M,B,58,3665,341,0.0828,3,3,0.0463,0.1192,0.2723,25.89,-9.82,7.29
855A,F2,3,13,F,B,58,3663,387,0.0792,4,4,0.0446,0.153,0.44645,66.07,-48.21,10.84
856A,F2,3,13,F,B,58,2514,477,0.1222,4,3,0.0321,0.1246,0.3884,8.93,20.54,9.25
857A,F2,3,13,F,B,58,2629,433,0.1208,0,5,0.0285,0.0623,0.1875,28.57,-21.42,3.38
